SessionId,DeviceId,Time,UserId,IP,EventAction,EventCategory,EventData,EventEntity,EventLabel,EventLabelRaw,EventSource,UserAgent,Product,MachineName,CollectTime,Platform
212989,1e14b931-74d2-4439-9f53-2939444dffa5,2026-08-31 23:59:59.900000+00:00,,189.104.23.149,,PageView,,,"{'list': array([], dtype=object)}",https://tw.openrice.com/zh-tw/changhua-nantou/review/彰化員林美食推薦-bistro-chillax秋蕾義法餐酒館-員林網美打卡餐廳-推薦煙燻鮭魚奶醬細扁-e181350,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML%2C like Gecko) Chrome/125.0.0.0 Safari/537.36,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-08-31 23:39:01+00:00,desktop
231618,20bc21be-4531-4e04-a2ef-cb0b658ed182,2026-08-31 23:59:59.900000+00:00,,223.122.92.216,,PageView,,,"{'list': array([], dtype=object)}",https://www.openrice.com/zh/hongkong/review/--e6543920,,Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML%2C like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36;Lang:zh-HK%2Czh;q=0.9%2Cen-US;q=0.8%2Cen;q=0.7%2Czh-CN;q=0.6,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-b4jfn,2026-08-31 23:39:01+00:00,mobile
878920,7ce788ac-0316-4f2d-8590-b7f6ced070e8,2026-08-31 23:59:59.800000+00:00,,103.6.179.250,impression.poi,WebEvent,https://www.openrice.com/zh/hongkong/l-moko新世紀廣場-l48?sortBy=ORScoreDesc&landmarkCategoryId=-990&poiType=1&cuisineId=1018&cuisineId=1002&cuisineId=1011,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'PoiId', 'Value': '2924'}}],
      dtype=object)}",CityID:0;PoiId:2924,,Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML%2C like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36;Lang:zh-HK%2Czh;q=0.9%2Cen-US;q=0.8%2Cen;q=0.7%2Czh-TW;q=0.6%2Cja;q=0.5,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-08-31 23:39:01+00:00,mobile
878920,7ce788ac-0316-4f2d-8590-b7f6ced070e8,2026-08-31 23:59:59.800000+00:00,,103.6.179.250,impression.poi,WebEvent,https://www.openrice.com/zh/hongkong/l-moko新世紀廣場-l48?sortBy=ORScoreDesc&landmarkCategoryId=-990&poiType=1&cuisineId=1018&cuisineId=1002&cuisineId=1011,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'PoiId', 'Value': '580036'}}],
      dtype=object)}",CityID:0;PoiId:580036,,Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML%2C like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36;Lang:zh-HK%2Czh;q=0.9%2Cen-US;q=0.8%2Cen;q=0.7%2Czh-TW;q=0.6%2Cja;q=0.5,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-b4jfn,2026-08-31 23:39:01+00:00,mobile
753898,6b0a1896-2956-4f80-869b-05d494e3df6d,2026-08-31 23:59:59.800000+00:00,,9.151.203.86,,PageView,,,"{'list': array([], dtype=object)}",https://tw.openrice.com/zh-tw/changhua-nantou/p-好客食事処-p4061175,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML%2C like Gecko) Chrome/125.0.0.0 Safari/537.36,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-j2lhc,2026-08-31 23:39:01+00:00,desktop
251491,2387c13e-3a36-4285-b5a1-6febdc8b4533,2026-08-31 23:59:59.800000+00:00,d2959b67-7f6b-460c-9cc7-40abd0f67373,203.186.230.110,,PageView,,,"{'list': array([], dtype=object)}",https://www.openrice.com/zh/me/booking-reward,,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML%2C like Gecko) Mobile/15E148;Lang:en-GB%2Cen;q=0.9,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-08-31 23:39:01+00:00,mobile
555292,4ec6575b-9024-41ad-bbf8-770291c5b309,2026-08-31 23:59:59.800000+00:00,,142.147.163.218,,PageView,,,"{'list': array([], dtype=object)}",https://www.openrice.com/zh/hongkong/r-bamboo-thai-黃竹坑-泰國菜-r867478,,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML%2C like Gecko) Chrome/149.0.0.0 Safari/537.36;Lang:en-US%2Cen;q=0.9,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-08-31 23:39:01+00:00,desktop
878920,7ce788ac-0316-4f2d-8590-b7f6ced070e8,2026-08-31 23:59:59.800000+00:00,,103.6.179.250,impression.poi,WebEvent,https://www.openrice.com/zh/hongkong/l-moko新世紀廣場-l48?sortBy=ORScoreDesc&landmarkCategoryId=-990&poiType=1&cuisineId=1018&cuisineId=1002&cuisineId=1011,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'PoiId', 'Value': '1121277'}}],
      dtype=object)}",CityID:0;PoiId:1121277,,Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML%2C like Gecko) Chrome/151.0.0.0 Mobile Safari/537.36;Lang:zh-HK%2Czh;q=0.9%2Cen-US;q=0.8%2Cen;q=0.7%2Czh-TW;q=0.6%2Cja;q=0.5,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-08-31 23:39:01+00:00,mobile
52445,0761a25a-f4fc-40f1-ad8d-841df0c740c4,2026-08-31 23:59:59.700000+00:00,,218.252.6.215,view.SR1.Promotion,WebEvent,https://www.openrice.com/zh/hongkong/restaurants/district/深水埗,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'Sn', 'Value': 'http://www.openrice.com/zh/hongkong/restaurants/district/深水埗'}}],
      dtype=object)}",CityID:0;Sn:https://www.openrice.com/zh/hongkong/restaurants/district/深水埗,,Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML%2C like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36;Lang:zh-HK%2Czh-TW;q=0.9%2Czh;q=0.8%2Cen-US;q=0.7%2Cen;q=0.6%2Czh-CN;q=0.5,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-08-31 23:39:01+00:00,mobile
994305,8d3f055a-1e8b-45a1-ab9e-cc82182a87d1,2026-08-31 23:59:59.700000+00:00,,154.28.104.73,,PageView,,,"{'list': array([], dtype=object)}",https://tw.openrice.com/zh-tw/changhua-nantou/map/restaurants?tabIndex=0&sortBy=ORScoreDesc&amenityId=1029&poiType=1&apiEntryPoint=11,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML%2C like Gecko) Chrome/125.0.0.0 Safari/537.36,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-08-31 23:39:01+00:00,desktop
